"No.","Origianl Protein Name","User-specified Protein Name","PDB ID","Test Compounds","Docking Scores (pKd/pKi)"
1,1A02,1A02,3FQN,94275,4.551
2,1A02,1A02,3FQN,9548595,5.255
3,1A02,1A02,3FQN,95997,3.124
4,1A02,1A02,3FQN,985,4.857
5,1A02,1A02,3FQN,9852086,5.901
6,2Y6D,2Y6D,2Y6D,94275,5.401
7,2Y6D,2Y6D,2Y6D,9548595,7.119
8,2Y6D,2Y6D,2Y6D,95997,3.488
9,2Y6D,2Y6D,2Y6D,985,5.200
10,2Y6D,2Y6D,2Y6D,9852086,7.563
11,3AYU,3AYU,3AYU,94275,5.072
12,3AYU,3AYU,3AYU,9548595,7.853
13,3AYU,3AYU,3AYU,95997,3.469
14,3AYU,3AYU,3AYU,985,5.352
15,3AYU,3AYU,3AYU,9852086,8.271
16,3OLL,3OLL,3OLL,94275,6.774
17,3OLL,3OLL,3OLL,9548595,8.336
18,3OLL,3OLL,3OLL,95997,4.214
19,3OLL,3OLL,3OLL,985,6.376
20,3OLL,3OLL,3OLL,9852086,8.217
21,3U9Q,3U9Q,3U9Q,94275,6.909
22,3U9Q,3U9Q,3U9Q,9548595,8.332
23,3U9Q,3U9Q,3U9Q,95997,4.260
24,3U9Q,3U9Q,3U9Q,985,5.981
25,3U9Q,3U9Q,3U9Q,9852086,8.171
26,3V8S,3V8S,3V8S,94275,6.838
27,3V8S,3V8S,3V8S,9548595,8.357
28,3V8S,3V8S,3V8S,95997,4.343
29,3V8S,3V8S,3V8S,985,6.054
30,3V8S,3V8S,3V8S,9852086,8.235
31,3V96,3V96,3V96,94275,4.469
32,3V96,3V96,3V96,9548595,5.012
33,3V96,3V96,3V96,95997,2.933
34,3V96,3V96,3V96,985,4.809
35,3V96,3V96,3V96,9852086,5.128
36,3WO4,3WO4,3WO4,94275,4.479
37,3WO4,3WO4,3WO4,9548595,4.965
38,3WO4,3WO4,3WO4,95997,2.913
39,3WO4,3WO4,3WO4,985,4.671
40,3WO4,3WO4,3WO4,9852086,5.182
41,4D0Z,4D0Z,4D0Z,94275,6.834
42,4D0Z,4D0Z,4D0Z,9548595,8.409
43,4D0Z,4D0Z,4D0Z,95997,4.342
44,4D0Z,4D0Z,4D0Z,985,6.113
45,4D0Z,4D0Z,4D0Z,9852086,8.218
46,4D1P,4D1P,4D1P,94275,6.783
47,4D1P,4D1P,4D1P,9548595,8.322
48,4D1P,4D1P,4D1P,95997,4.308
49,4D1P,4D1P,4D1P,985,5.930
50,4D1P,4D1P,4D1P,9852086,8.274
51,4DRI,4DRI,4DRI,94275,6.084
52,4DRI,4DRI,4DRI,9548595,8.069
53,4DRI,4DRI,4DRI,95997,3.694
54,4DRI,4DRI,4DRI,985,5.625
