"No.","Origianl Protein Name","User-specified Protein Name","PDB ID","Test Compounds","Docking Scores (pKd/pKi)"
1,1A02,1A02,3FQN,638278,3.276
2,1A02,1A02,3FQN,6431015,4.565
3,1A02,1A02,3FQN,6436081,4.766
4,1A02,1A02,3FQN,65727,5.533
5,1A02,1A02,3FQN,68146761,3.282
6,2Y6D,2Y6D,2Y6D,638278,4.179
7,2Y6D,2Y6D,2Y6D,6431015,5.478
8,2Y6D,2Y6D,2Y6D,6436081,6.031
9,2Y6D,2Y6D,2Y6D,65727,7.075
10,2Y6D,2Y6D,2Y6D,68146761,4.155
11,3AYU,3AYU,3AYU,638278,4.197
12,3AYU,3AYU,3AYU,6431015,5.060
13,3AYU,3AYU,3AYU,6436081,6.204
14,3AYU,3AYU,3AYU,65727,7.417
15,3AYU,3AYU,3AYU,68146761,4.156
16,3OLL,3OLL,3OLL,638278,4.633
17,3OLL,3OLL,3OLL,6431015,6.855
18,3OLL,3OLL,3OLL,6436081,6.765
19,3OLL,3OLL,3OLL,65727,8.303
20,3OLL,3OLL,3OLL,68146761,4.880
21,3U9Q,3U9Q,3U9Q,638278,4.643
22,3U9Q,3U9Q,3U9Q,6431015,6.881
23,3U9Q,3U9Q,3U9Q,6436081,6.597
24,3U9Q,3U9Q,3U9Q,65727,7.962
25,3U9Q,3U9Q,3U9Q,68146761,4.934
26,3V8S,3V8S,3V8S,638278,4.359
27,3V8S,3V8S,3V8S,6431015,6.470
28,3V8S,3V8S,3V8S,6436081,6.583
29,3V8S,3V8S,3V8S,65727,8.285
30,3V8S,3V8S,3V8S,68146761,4.753
31,3V96,3V96,3V96,638278,2.989
32,3V96,3V96,3V96,6431015,4.486
33,3V96,3V96,3V96,6436081,4.927
34,3V96,3V96,3V96,65727,5.328
35,3V96,3V96,3V96,68146761,3.219
36,3WO4,3WO4,3WO4,638278,2.480
37,3WO4,3WO4,3WO4,6431015,4.488
38,3WO4,3WO4,3WO4,6436081,4.603
39,3WO4,3WO4,3WO4,65727,5.363
40,3WO4,3WO4,3WO4,68146761,2.779
41,4D0Z,4D0Z,4D0Z,638278,4.528
42,4D0Z,4D0Z,4D0Z,6431015,6.739
43,4D0Z,4D0Z,4D0Z,6436081,6.507
44,4D0Z,4D0Z,4D0Z,65727,8.345
45,4D0Z,4D0Z,4D0Z,68146761,4.943
46,4D1P,4D1P,4D1P,638278,4.543
47,4D1P,4D1P,4D1P,6431015,6.627
48,4D1P,4D1P,4D1P,6436081,6.546
49,4D1P,4D1P,4D1P,65727,8.196
50,4D1P,4D1P,4D1P,68146761,4.865
51,4DRI,4DRI,4DRI,638278,4.417
52,4DRI,4DRI,4DRI,6431015,6.277
53,4DRI,4DRI,4DRI,6436081,6.424
54,4DRI,4DRI,4DRI,65727,7.581
55,4DRI,4DRI,4DRI,68146761,4.527
56,4H6J,4H6J,4H6J,638278,nan
57,4H6J,4H6J,4H6J,6431015,nan
58,4H6J,4H6J,4H6J,6436081,nan
59,4H6J,4H6J,4H6J,65727,nan
60,4H6J,4H6J,4H6J,68146761,nan
61,4I8V,4I8V,4I8V,638278,4.716
62,4I8V,4I8V,4I8V,6431015,6.953
63,4I8V,4I8V,4I8V,6436081,6.576
64,4I8V,4I8V,4I8V,65727,8.405
65,4I8V,4I8V,4I8V,68146761,4.972
66,4O1V,4O1V,4O1V,638278,nan
67,4O1V,4O1V,4O1V,6431015,nan
68,4O1V,4O1V,4O1V,6436081,nan
69,4O1V,4O1V,4O1V,65727,nan
70,4O1V,4O1V,4O1V,68146761,nan
71,4OEE,4OEE,4OEE,638278,3.184
72,4OEE,4OEE,4OEE,6431015,4.586
73,4OEE,4OEE,4OEE,6436081,4.881
74,4OEE,4OEE,4OEE,65727,5.402
75,4OEE,4OEE,4OEE,68146761,3.499
76,4QBS,4QBS,4QBS,638278,3.119
77,4QBS,4QBS,4QBS,6431015,4.539
78,4QBS,4QBS,4QBS,6436081,4.815
79,4QBS,4QBS,4QBS,65727,5.935
80,4QBS,4QBS,4QBS,68146761,3.672
81,4QLI,4QLI,4QLI,638278,4.346
82,4QLI,4QLI,4QLI,6431015,5.658
83,4QLI,4QLI,4QLI,6436081,6.140
84,4QLI,4QLI,4QLI,65727,7.833
85,4QLI,4QLI,4QLI,68146761,4.202
86,4XDX,4XDX,4XDX,638278,nan
87,4XDX,4XDX,4XDX,6431015,nan
88,4XDX,4XDX,4XDX,6436081,nan
89,4XDX,4XDX,4XDX,65727,nan
90,4XDX,4XDX,4XDX,68146761,nan
91,5D7F,5D7F,5D7F,638278,3.253
92,5D7F,5D7F,5D7F,6431015,4.555
93,5D7F,5D7F,5D7F,6436081,5.127
94,5D7F,5D7F,5D7F,65727,5.478
95,5D7F,5D7F,5D7F,68146761,3.519
96,5E0U,5E0U,5E0U,638278,nan
97,5E0U,5E0U,5E0U,6431015,nan
98,5E0U,5E0U,5E0U,6436081,nan
99,5E0U,5E0U,5E0U,65727,nan
100,5E0U,5E0U,5E0U,68146761,nan
101,5F19,5F19,5F19,638278,4.606
102,5F19,5F19,5F19,6431015,6.695
103,5F19,5F19,5F19,6436081,6.557
104,5F19,5F19,5F19,65727,8.257
105,5F19,5F19,5F19,68146761,4.402
106,5HN1,5HN1,5HN1,638278,3.637
107,5HN1,5HN1,5HN1,6431015,4.438
108,5HN1,5HN1,5HN1,6436081,5.715
109,5HN1,5HN1,5HN1,65727,5.813
110,5HN1,5HN1,5HN1,68146761,3.736
111,5IRQ,5IRQ,5IRQ,638278,4.549
112,5IRQ,5IRQ,5IRQ,6431015,6.094
113,5IRQ,5IRQ,5IRQ,6436081,6.513
114,5IRQ,5IRQ,5IRQ,65727,8.230
115,5IRQ,5IRQ,5IRQ,68146761,4.821
116,5JFW,5JFW,5JFW,638278,4.383
117,5JFW,5JFW,5JFW,6431015,6.716
118,5JFW,5JFW,5JFW,6436081,6.576
119,5JFW,5JFW,5JFW,65727,7.770
120,5JFW,5JFW,5JFW,68146761,4.877
121,5L0R,5L0R,5L0R,638278,4.680
122,5L0R,5L0R,5L0R,6431015,6.841
123,5L0R,5L0R,5L0R,6436081,6.557
124,5L0R,5L0R,5L0R,65727,8.590
125,5L0R,5L0R,5L0R,68146761,4.516
126,5NJJ,5NJJ,5NJJ,638278,3.834
127,5NJJ,5NJJ,5NJJ,6431015,4.526
128,5NJJ,5NJJ,5NJJ,6436081,5.177
129,5NJJ,5NJJ,5NJJ,65727,6.852
130,5NJJ,5NJJ,5NJJ,68146761,3.945
131,5NRR,5NRR,5NRR,638278,nan
132,5NRR,5NRR,5NRR,6431015,nan
133,5NRR,5NRR,5NRR,6436081,nan
134,5NRR,5NRR,5NRR,65727,nan
135,5NRR,5NRR,5NRR,68146761,nan
136,6ESM,6ESM,6ESM,638278,4.060
137,6ESM,6ESM,6ESM,6431015,6.021
138,6ESM,6ESM,6ESM,6436081,6.310
139,6ESM,6ESM,6ESM,65727,7.809
140,6ESM,6ESM,6ESM,68146761,4.374
141,B2MG,B2MG,3KYO,638278,4.062
142,B2MG,B2MG,3KYO,6431015,4.610
143,B2MG,B2MG,3KYO,6436081,5.894
144,B2MG,B2MG,3KYO,65727,6.243
145,B2MG,B2MG,3KYO,68146761,4.101
146,BIRC5,BIRC5,2QFA,638278,4.199
147,BIRC5,BIRC5,2QFA,6431015,4.581
148,BIRC5,BIRC5,2QFA,6436081,5.840
149,BIRC5,BIRC5,2QFA,65727,7.139
150,BIRC5,BIRC5,2QFA,68146761,4.342
151,CALM,CALM,3EWV,638278,3.256
152,CALM,CALM,3EWV,6431015,4.449
153,CALM,CALM,3EWV,6436081,5.059
154,CALM,CALM,3EWV,65727,6.760
155,CALM,CALM,3EWV,68146761,3.350
156,CCL2,CCL2,1DOK,638278,3.320
157,CCL2,CCL2,1DOK,6431015,4.559
158,CCL2,CCL2,1DOK,6436081,4.965
159,CCL2,CCL2,1DOK,65727,5.394
160,CCL2,CCL2,1DOK,68146761,3.513
161,CCND1,CCND1,2W96,638278,4.199
162,CCND1,CCND1,2W96,6431015,4.605
163,CCND1,CCND1,2W96,6436081,5.988
164,CCND1,CCND1,2W96,65727,7.398
165,CCND1,CCND1,2W96,68146761,4.149
166,CD2A1,CD2A1,1BI7,638278,nan
167,CD2A1,CD2A1,1BI7,6431015,nan
168,CD2A1,CD2A1,1BI7,6436081,nan
169,CD2A1,CD2A1,1BI7,65727,nan
170,CD2A1,CD2A1,1BI7,68146761,nan
171,COMT,COMT,3BWY,638278,4.233
172,COMT,COMT,3BWY,6431015,5.829
173,COMT,COMT,3BWY,6436081,6.498
174,COMT,COMT,3BWY,65727,7.764
175,COMT,COMT,3BWY,68146761,4.772
176,E1A,E1A,2R7G,638278,4.112
177,E1A,E1A,2R7G,6431015,4.566
178,E1A,E1A,2R7G,6436081,5.782
179,E1A,E1A,2R7G,65727,6.961
180,E1A,E1A,2R7G,68146761,4.126
181,ESR1,ESR1,3CBP,638278,3.997
182,ESR1,ESR1,3CBP,6431015,5.335
183,ESR1,ESR1,3CBP,6436081,6.329
184,ESR1,ESR1,3CBP,65727,7.584
185,ESR1,ESR1,3CBP,68146761,4.169
186,FGF1,FGF1,1RG8,638278,3.440
187,FGF1,FGF1,1RG8,6431015,4.528
188,FGF1,FGF1,1RG8,6436081,5.214
189,FGF1,FGF1,1RG8,65727,6.384
190,FGF1,FGF1,1RG8,68146761,3.695
191,GSTM1,GSTM1,1XW6,638278,4.007
192,GSTM1,GSTM1,1XW6,6431015,5.461
193,GSTM1,GSTM1,1XW6,6436081,6.210
194,GSTM1,GSTM1,1XW6,65727,7.388
195,GSTM1,GSTM1,1XW6,68146761,4.351
196,I10R1,I10R1,1Y6K,638278,nan
197,I10R1,I10R1,1Y6K,6431015,nan
198,I10R1,I10R1,1Y6K,6436081,nan
199,I10R1,I10R1,1Y6K,65727,nan
200,I10R1,I10R1,1Y6K,68146761,nan
201,I22R2,I22R2,3G9V,638278,nan
202,I22R2,I22R2,3G9V,6431015,nan
203,I22R2,I22R2,3G9V,6436081,nan
204,I22R2,I22R2,3G9V,65727,nan
205,I22R2,I22R2,3G9V,68146761,nan
206,IL6RA,IL6RA,1N26,638278,2.599
207,IL6RA,IL6RA,1N26,6431015,4.488
208,IL6RA,IL6RA,1N26,6436081,4.602
209,IL6RA,IL6RA,1N26,65727,5.330
210,IL6RA,IL6RA,1N26,68146761,2.955
211,LIFR,LIFR,3E0G,638278,3.369
212,LIFR,LIFR,3E0G,6431015,4.523
213,LIFR,LIFR,3E0G,6436081,4.925
214,LIFR,LIFR,3E0G,65727,5.464
215,LIFR,LIFR,3E0G,68146761,3.705
216,MMP1,MMP1,1HFC,638278,4.057
217,MMP1,MMP1,1HFC,6431015,5.167
218,MMP1,MMP1,1HFC,6436081,6.066
219,MMP1,MMP1,1HFC,65727,7.104
220,MMP1,MMP1,1HFC,68146761,4.144
221,MMP3,MMP3,1HY7,638278,4.210
222,MMP3,MMP3,1HY7,6431015,5.587
223,MMP3,MMP3,1HY7,6436081,6.203
224,MMP3,MMP3,1HY7,65727,7.358
225,MMP3,MMP3,1HY7,68146761,4.164
226,NCAM1,NCAM1,2HAZ,638278,3.215
227,NCAM1,NCAM1,2HAZ,6431015,4.476
228,NCAM1,NCAM1,2HAZ,6436081,5.189
229,NCAM1,NCAM1,2HAZ,65727,5.407
230,NCAM1,NCAM1,2HAZ,68146761,3.380
231,NFKB1,NFKB1,1SVC,638278,nan
232,NFKB1,NFKB1,1SVC,6431015,nan
233,NFKB1,NFKB1,1SVC,6436081,nan
234,NFKB1,NFKB1,1SVC,65727,nan
235,NFKB1,NFKB1,1SVC,68146761,nan
236,NGF,NGF,1WWW,638278,nan
237,NGF,NGF,1WWW,6431015,nan
238,NGF,NGF,1WWW,6436081,nan
239,NGF,NGF,1WWW,65727,nan
240,NGF,NGF,1WWW,68146761,nan
241,OSTP,OSTP,3CXD,638278,2.546
242,OSTP,OSTP,3CXD,6431015,4.488
243,OSTP,OSTP,3CXD,6436081,4.687
244,OSTP,OSTP,3CXD,65727,5.348
245,OSTP,OSTP,3CXD,68146761,3.137
246,PAK4,PAK4,2J0I,638278,3.761
247,PAK4,PAK4,2J0I,6431015,4.557
248,PAK4,PAK4,2J0I,6436081,5.237
249,PAK4,PAK4,2J0I,65727,6.865
250,PAK4,PAK4,2J0I,68146761,3.713
251,PARK7,PARK7,2RK3,638278,nan
252,PARK7,PARK7,2RK3,6431015,nan
253,PARK7,PARK7,2RK3,6436081,nan
254,PARK7,PARK7,2RK3,65727,nan
255,PARK7,PARK7,2RK3,68146761,nan
256,PRGR,PRGR,1SQN,638278,4.562
257,PRGR,PRGR,1SQN,6431015,7.230
258,PRGR,PRGR,1SQN,6436081,6.676
259,PRGR,PRGR,1SQN,65727,8.348
260,PRGR,PRGR,1SQN,68146761,4.771
261,TIMP2,TIMP2,1BR9,638278,nan
262,TIMP2,TIMP2,1BR9,6431015,nan
263,TIMP2,TIMP2,1BR9,6436081,nan
264,TIMP2,TIMP2,1BR9,65727,nan
265,TIMP2,TIMP2,1BR9,68146761,nan
266,TLN1,TLN1,1MIZ,638278,nan
267,TLN1,TLN1,1MIZ,6431015,nan
268,TLN1,TLN1,1MIZ,6436081,nan
269,TLN1,TLN1,1MIZ,65727,nan
270,TLN1,TLN1,1MIZ,68146761,nan
271,TLR4,TLR4,2Z62,638278,2.505
272,TLR4,TLR4,2Z62,6431015,4.548
273,TLR4,TLR4,2Z62,6436081,4.605
274,TLR4,TLR4,2Z62,65727,5.364
275,TLR4,TLR4,2Z62,68146761,2.785
276,VEGFA,VEGFA,1MKK,638278,nan
277,VEGFA,VEGFA,1MKK,6431015,nan
278,VEGFA,VEGFA,1MKK,6436081,nan
279,VEGFA,VEGFA,1MKK,65727,nan
280,VEGFA,VEGFA,1MKK,68146761,nan
