"No.","Origianl Protein Name","User-specified Protein Name","PDB ID","Test Compounds","Docking Scores (pKd/pKi)"
1,1A02,1A02,3FQN,73351971,5.204
2,1A02,1A02,3FQN,73400,5.011
3,1A02,1A02,3FQN,73599,5.097
4,1A02,1A02,3FQN,74840,4.671
5,1A02,1A02,3FQN,767,4.640
6,2Y6D,2Y6D,2Y6D,73351971,6.203
7,2Y6D,2Y6D,2Y6D,73400,4.627
8,2Y6D,2Y6D,2Y6D,73599,7.064
9,2Y6D,2Y6D,2Y6D,74840,5.319
10,2Y6D,2Y6D,2Y6D,767,4.597
11,3AYU,3AYU,3AYU,73351971,6.268
12,3AYU,3AYU,3AYU,73400,4.766
13,3AYU,3AYU,3AYU,73599,8.033
14,3AYU,3AYU,3AYU,74840,5.311
15,3AYU,3AYU,3AYU,767,4.638
16,3OLL,3OLL,3OLL,73351971,6.567
17,3OLL,3OLL,3OLL,73400,6.204
18,3OLL,3OLL,3OLL,73599,8.462
19,3OLL,3OLL,3OLL,74840,6.825
20,3OLL,3OLL,3OLL,767,4.307
21,3U9Q,3U9Q,3U9Q,73351971,6.625
22,3U9Q,3U9Q,3U9Q,73400,6.125
23,3U9Q,3U9Q,3U9Q,73599,8.411
24,3U9Q,3U9Q,3U9Q,74840,5.703
25,3U9Q,3U9Q,3U9Q,767,4.695
26,3V8S,3V8S,3V8S,73351971,6.576
27,3V8S,3V8S,3V8S,73400,5.818
28,3V8S,3V8S,3V8S,73599,8.367
29,3V8S,3V8S,3V8S,74840,5.520
30,3V8S,3V8S,3V8S,767,4.632
31,3V96,3V96,3V96,73351971,5.149
32,3V96,3V96,3V96,73400,4.441
33,3V96,3V96,3V96,73599,4.863
34,3V96,3V96,3V96,74840,4.077
35,3V96,3V96,3V96,767,4.488
36,3VH8,3VH8,3VH8,73351971,5.216
37,3VH8,3VH8,3VH8,73400,4.747
38,3VH8,3VH8,3VH8,73599,6.114
39,3VH8,3VH8,3VH8,74840,4.697
40,3VH8,3VH8,3VH8,767,4.610
41,4D0Z,4D0Z,4D0Z,73351971,6.549
42,4D0Z,4D0Z,4D0Z,73400,6.040
43,4D0Z,4D0Z,4D0Z,73599,8.310
44,4D0Z,4D0Z,4D0Z,74840,5.195
45,4D0Z,4D0Z,4D0Z,767,4.757
46,4D1P,4D1P,4D1P,73351971,6.540
47,4D1P,4D1P,4D1P,73400,6.163
48,4D1P,4D1P,4D1P,73599,8.370
49,4D1P,4D1P,4D1P,74840,4.996
50,4D1P,4D1P,4D1P,767,4.628
51,4DRI,4DRI,4DRI,73351971,6.474
52,4DRI,4DRI,4DRI,73400,5.124
53,4DRI,4DRI,4DRI,73599,8.150
54,4DRI,4DRI,4DRI,74840,5.049
55,4DRI,4DRI,4DRI,767,4.610
56,4H6J,4H6J,4H6J,73351971,nan
57,4H6J,4H6J,4H6J,73400,nan
58,4H6J,4H6J,4H6J,73599,nan
59,4H6J,4H6J,4H6J,74840,nan
60,4H6J,4H6J,4H6J,767,nan
61,4I8V,4I8V,4I8V,73351971,6.552
62,4I8V,4I8V,4I8V,73400,4.904
63,4I8V,4I8V,4I8V,73599,8.459
64,4I8V,4I8V,4I8V,74840,5.035
65,4I8V,4I8V,4I8V,767,4.627
66,4O1V,4O1V,4O1V,73351971,nan
