"No.","Origianl Protein Name","User-specified Protein Name","PDB ID","Test Compounds","Docking Scores (pKd/pKi)"
1,1A02,1A02,3FQN,101300,6.040
2,1A02,1A02,3FQN,101389811,5.728
3,1A02,1A02,3FQN,101690,5.327
4,1A02,1A02,3FQN,10248,3.451
5,1A02,1A02,3FQN,10772,5.424
6,2Y6D,2Y6D,2Y6D,101300,6.704
7,2Y6D,2Y6D,2Y6D,101389811,7.020
8,2Y6D,2Y6D,2Y6D,101690,7.133
9,2Y6D,2Y6D,2Y6D,10248,3.954
10,2Y6D,2Y6D,2Y6D,10772,6.044
11,3AYU,3AYU,3AYU,101300,6.811
12,3AYU,3AYU,3AYU,101389811,7.573
13,3AYU,3AYU,3AYU,101690,7.621
14,3AYU,3AYU,3AYU,10248,3.681
15,3AYU,3AYU,3AYU,10772,5.777
16,3OLL,3OLL,3OLL,101300,6.705
17,3OLL,3OLL,3OLL,101389811,8.470
18,3OLL,3OLL,3OLL,101690,8.408
19,3OLL,3OLL,3OLL,10248,5.142
20,3OLL,3OLL,3OLL,10772,4.769
21,3U9Q,3U9Q,3U9Q,101300,6.815
22,3U9Q,3U9Q,3U9Q,101389811,7.833
23,3U9Q,3U9Q,3U9Q,101690,8.400
24,3U9Q,3U9Q,3U9Q,10248,5.248
25,3U9Q,3U9Q,3U9Q,10772,5.161
26,3V8S,3V8S,3V8S,101300,6.681
27,3V8S,3V8S,3V8S,101389811,7.953
28,3V8S,3V8S,3V8S,101690,8.352
29,3V8S,3V8S,3V8S,10248,4.725
30,3V8S,3V8S,3V8S,10772,5.688
31,3V96,3V96,3V96,101300,6.385
32,3V96,3V96,3V96,101389811,4.940
33,3V96,3V96,3V96,101690,5.035
34,3V96,3V96,3V96,10248,3.196
35,3V96,3V96,3V96,10772,5.280
36,3VH8,3VH8,3VH8,101300,6.284
37,3VH8,3VH8,3VH8,101389811,6.040
38,3VH8,3VH8,3VH8,101690,5.455
39,3VH8,3VH8,3VH8,10248,3.524
40,3VH8,3VH8,3VH8,10772,5.471
41,4D0Z,4D0Z,4D0Z,101300,6.616
42,4D0Z,4D0Z,4D0Z,101389811,8.355
43,4D0Z,4D0Z,4D0Z,101690,8.456
44,4D0Z,4D0Z,4D0Z,10248,4.754
45,4D0Z,4D0Z,4D0Z,10772,5.701
46,4D1P,4D1P,4D1P,101300,6.670
47,4D1P,4D1P,4D1P,101389811,8.361
48,4D1P,4D1P,4D1P,101690,8.354
49,4D1P,4D1P,4D1P,10248,4.744
50,4D1P,4D1P,4D1P,10772,5.595
51,4DRI,4DRI,4DRI,101300,6.756
52,4DRI,4DRI,4DRI,101389811,7.545
53,4DRI,4DRI,4DRI,101690,8.064
54,4DRI,4DRI,4DRI,10248,4.352
55,4DRI,4DRI,4DRI,10772,6.258
56,4H6J,4H6J,4H6J,101300,nan
57,4H6J,4H6J,4H6J,101389811,nan
58,4H6J,4H6J,4H6J,101690,nan
59,4H6J,4H6J,4H6J,10248,nan
60,4H6J,4H6J,4H6J,10772,nan
61,4I8V,4I8V,4I8V,101300,6.168
62,4I8V,4I8V,4I8V,101389811,8.324
63,4I8V,4I8V,4I8V,101690,8.447
64,4I8V,4I8V,4I8V,10248,4.705
65,4I8V,4I8V,4I8V,10772,5.990
66,4O1V,4O1V,4O1V,101300,nan
67,4O1V,4O1V,4O1V,101389811,nan
68,4O1V,4O1V,4O1V,101690,nan
69,4O1V,4O1V,4O1V,10248,nan
70,4O1V,4O1V,4O1V,10772,nan
71,4OEE,4OEE,4OEE,101300,5.943
72,4OEE,4OEE,4OEE,101389811,5.189
73,4OEE,4OEE,4OEE,101690,5.306
74,4OEE,4OEE,4OEE,10248,3.292
75,4OEE,4OEE,4OEE,10772,5.454
76,4QBS,4QBS,4QBS,101300,5.291
77,4QBS,4QBS,4QBS,101389811,6.115
78,4QBS,4QBS,4QBS,101690,5.185
79,4QBS,4QBS,4QBS,10248,3.583
80,4QBS,4QBS,4QBS,10772,5.128
81,4XDX,4XDX,4XDX,101300,nan
82,4XDX,4XDX,4XDX,101389811,nan
83,4XDX,4XDX,4XDX,101690,nan
84,4XDX,4XDX,4XDX,10248,nan
85,4XDX,4XDX,4XDX,10772,nan
86,4ZIE,4ZIE,4ZIE,101300,6.450
87,4ZIE,4ZIE,4ZIE,101389811,5.690
88,4ZIE,4ZIE,4ZIE,101690,5.941
89,4ZIE,4ZIE,4ZIE,10248,3.472
90,4ZIE,4ZIE,4ZIE,10772,5.458
91,5F19,5F19,5F19,101300,6.571
92,5F19,5F19,5F19,101389811,8.187
93,5F19,5F19,5F19,101690,8.351
94,5F19,5F19,5F19,10248,4.494
95,5F19,5F19,5F19,10772,6.340
96,5HHE,5HHE,5HHE,101300,nan
97,5HHE,5HHE,5HHE,101389811,nan
98,5HHE,5HHE,5HHE,101690,nan
99,5HHE,5HHE,5HHE,10248,nan
100,5HHE,5HHE,5HHE,10772,nan
101,5IRQ,5IRQ,5IRQ,101300,6.487
102,5IRQ,5IRQ,5IRQ,101389811,8.117
103,5IRQ,5IRQ,5IRQ,101690,8.349
104,5IRQ,5IRQ,5IRQ,10248,4.750
105,5IRQ,5IRQ,5IRQ,10772,6.178
106,5JFW,5JFW,5JFW,101300,6.591
107,5JFW,5JFW,5JFW,101389811,7.943
108,5JFW,5JFW,5JFW,101690,8.397
109,5JFW,5JFW,5JFW,10248,4.744
110,5JFW,5JFW,5JFW,10772,5.579
111,5L0R,5L0R,5L0R,101300,6.696
112,5L0R,5L0R,5L0R,101389811,8.435
113,5L0R,5L0R,5L0R,101690,8.512
114,5L0R,5L0R,5L0R,10248,4.503
115,5L0R,5L0R,5L0R,10772,6.467
116,5NRR,5NRR,5NRR,101300,nan
117,5NRR,5NRR,5NRR,101389811,nan
118,5NRR,5NRR,5NRR,101690,nan
119,5NRR,5NRR,5NRR,10248,nan
120,5NRR,5NRR,5NRR,10772,nan
121,6ESM,6ESM,6ESM,101300,6.624
122,6ESM,6ESM,6ESM,101389811,7.528
123,6ESM,6ESM,6ESM,101690,8.242
124,6ESM,6ESM,6ESM,10248,4.623
125,6ESM,6ESM,6ESM,10772,5.880
126,ANXA2,ANXA2,2HYV,101300,6.370
127,ANXA2,ANXA2,2HYV,101389811,5.049
128,ANXA2,ANXA2,2HYV,101690,5.342
129,ANXA2,ANXA2,2HYV,10248,3.436
130,ANXA2,ANXA2,2HYV,10772,5.456
131,B2MG,B2MG,3KYO,101300,6.302
132,B2MG,B2MG,3KYO,101389811,5.564
133,B2MG,B2MG,3KYO,101690,6.705
134,B2MG,B2MG,3KYO,10248,3.668
135,B2MG,B2MG,3KYO,10772,6.153
136,BIRC5,BIRC5,2QFA,101300,6.928
137,BIRC5,BIRC5,2QFA,101389811,6.936
138,BIRC5,BIRC5,2QFA,101690,6.995
139,BIRC5,BIRC5,2QFA,10248,3.785
140,BIRC5,BIRC5,2QFA,10772,5.470
141,CCL2,CCL2,1DOK,101300,6.463
142,CCL2,CCL2,1DOK,101389811,5.288
143,CCL2,CCL2,1DOK,101690,5.457
144,CCL2,CCL2,1DOK,10248,3.358
145,CCL2,CCL2,1DOK,10772,5.454
146,CCND1,CCND1,2W96,101300,6.378
147,CCND1,CCND1,2W96,101389811,7.325
148,CCND1,CCND1,2W96,101690,7.411
149,CCND1,CCND1,2W96,10248,3.897
150,CCND1,CCND1,2W96,10772,5.948
151,CD2A1,CD2A1,1BI7,101300,nan
152,CD2A1,CD2A1,1BI7,101389811,nan
153,CD2A1,CD2A1,1BI7,101690,nan
154,CD2A1,CD2A1,1BI7,10248,nan
155,CD2A1,CD2A1,1BI7,10772,nan
156,COMT,COMT,3BWY,101300,6.533
157,COMT,COMT,3BWY,101389811,7.806
158,COMT,COMT,3BWY,101690,8.322
159,COMT,COMT,3BWY,10248,4.674
160,COMT,COMT,3BWY,10772,5.307
161,E1A,E1A,2R7G,101300,6.387
162,E1A,E1A,2R7G,101389811,6.837
163,E1A,E1A,2R7G,101690,7.210
164,E1A,E1A,2R7G,10248,3.627
165,E1A,E1A,2R7G,10772,5.833
166,ESR1,ESR1,3CBP,101300,5.374
167,ESR1,ESR1,3CBP,101389811,7.423
168,ESR1,ESR1,3CBP,101690,7.686
169,ESR1,ESR1,3CBP,10248,4.149
170,ESR1,ESR1,3CBP,10772,6.041
171,FGF1,FGF1,1RG8,101300,5.721
172,FGF1,FGF1,1RG8,101389811,6.138
173,FGF1,FGF1,1RG8,101690,5.536
174,FGF1,FGF1,1RG8,10248,3.420
175,FGF1,FGF1,1RG8,10772,5.516
176,GSTM1,GSTM1,1XW6,101300,7.232
177,GSTM1,GSTM1,1XW6,101389811,7.326
178,GSTM1,GSTM1,1XW6,101690,7.872
179,GSTM1,GSTM1,1XW6,10248,4.682
180,GSTM1,GSTM1,1XW6,10772,5.036
181,IKBA,IKBA,1IKN,101300,nan
182,IKBA,IKBA,1IKN,101389811,nan
183,IKBA,IKBA,1IKN,101690,nan
184,IKBA,IKBA,1IKN,10248,nan
185,IKBA,IKBA,1IKN,10772,nan
186,KI2L3,KI2L3,1B6U,101300,nan
187,KI2L3,KI2L3,1B6U,101389811,nan
188,KI2L3,KI2L3,1B6U,101690,nan
189,KI2L3,KI2L3,1B6U,10248,nan
190,KI2L3,KI2L3,1B6U,10772,nan
191,MMP1,MMP1,1HFC,101300,6.378
192,MMP1,MMP1,1HFC,101389811,6.783
193,MMP1,MMP1,1HFC,101690,6.959
194,MMP1,MMP1,1HFC,10248,3.862
195,MMP1,MMP1,1HFC,10772,6.287
196,MMP3,MMP3,1HY7,101300,6.705
197,MMP3,MMP3,1HY7,101389811,7.557
198,MMP3,MMP3,1HY7,101690,7.472
199,MMP3,MMP3,1HY7,10248,4.152
200,MMP3,MMP3,1HY7,10772,6.108
201,NCAM1,NCAM1,2HAZ,101300,6.759
202,NCAM1,NCAM1,2HAZ,101389811,5.153
203,NCAM1,NCAM1,2HAZ,101690,5.033
204,NCAM1,NCAM1,2HAZ,10248,3.269
205,NCAM1,NCAM1,2HAZ,10772,5.486
206,NFKB1,NFKB1,1SVC,101300,nan
207,NFKB1,NFKB1,1SVC,101389811,nan
208,NFKB1,NFKB1,1SVC,101690,nan
209,NFKB1,NFKB1,1SVC,10248,nan
210,NFKB1,NFKB1,1SVC,10772,nan
211,NTF3,NTF3,1B8K,101300,nan
212,NTF3,NTF3,1B8K,101389811,nan
213,NTF3,NTF3,1B8K,101690,nan
214,NTF3,NTF3,1B8K,10248,nan
215,NTF3,NTF3,1B8K,10772,nan
216,OSTP,OSTP,3CXD,101300,6.860
217,OSTP,OSTP,3CXD,101389811,5.018
218,OSTP,OSTP,3CXD,101690,4.965
219,OSTP,OSTP,3CXD,10248,3.153
220,OSTP,OSTP,3CXD,10772,5.694
221,PAK1,PAK1,3FXZ,101300,6.563
222,PAK1,PAK1,3FXZ,101389811,7.441
223,PAK1,PAK1,3FXZ,101690,7.690
224,PAK1,PAK1,3FXZ,10248,4.509
225,PAK1,PAK1,3FXZ,10772,5.140
226,PAK4,PAK4,2J0I,101300,5.925
227,PAK4,PAK4,2J0I,101389811,6.877
228,PAK4,PAK4,2J0I,101690,6.651
229,PAK4,PAK4,2J0I,10248,3.638
230,PAK4,PAK4,2J0I,10772,5.614
231,PRGR,PRGR,1SQN,101300,6.643
232,PRGR,PRGR,1SQN,101389811,8.499
233,PRGR,PRGR,1SQN,101690,8.351
234,PRGR,PRGR,1SQN,10248,5.283
235,PRGR,PRGR,1SQN,10772,4.840
236,TIMP2,TIMP2,1BR9,101300,nan
237,TIMP2,TIMP2,1BR9,101389811,nan
238,TIMP2,TIMP2,1BR9,101690,nan
239,TIMP2,TIMP2,1BR9,10248,nan
240,TIMP2,TIMP2,1BR9,10772,nan
241,TLN1,TLN1,1MIZ,101300,nan
242,TLN1,TLN1,1MIZ,101389811,nan
243,TLN1,TLN1,1MIZ,101690,nan
244,TLN1,TLN1,1MIZ,10248,nan
245,TLN1,TLN1,1MIZ,10772,nan
246,TLR4,TLR4,2Z62,101300,7.497
247,TLR4,TLR4,2Z62,101389811,4.987
248,TLR4,TLR4,2Z62,101690,4.987
249,TLR4,TLR4,2Z62,10248,3.163
250,TLR4,TLR4,2Z62,10772,5.726
251,VEGFA,VEGFA,1MKK,101300,nan
252,VEGFA,VEGFA,1MKK,101389811,nan
253,VEGFA,VEGFA,1MKK,101690,nan
