"No.","Origianl Protein Name","User-specified Protein Name","PDB ID","Test Compounds","Docking Scores (pKd/pKi)"
1,1A02,1A02,3FQN,13939318,3.261
2,1A02,1A02,3FQN,14157896,3.067
3,1A02,1A02,3FQN,9852086,5.691
4,2Y6D,2Y6D,2Y6D,13939318,3.864
5,2Y6D,2Y6D,2Y6D,14157896,3.752
6,2Y6D,2Y6D,2Y6D,9852086,7.955
7,3AYU,3AYU,3AYU,13939318,3.738
8,3AYU,3AYU,3AYU,14157896,3.663
9,3AYU,3AYU,3AYU,9852086,8.158
10,3OLL,3OLL,3OLL,13939318,4.204
11,3OLL,3OLL,3OLL,14157896,4.245
12,3OLL,3OLL,3OLL,9852086,8.252
13,3U9Q,3U9Q,3U9Q,13939318,4.053
14,3U9Q,3U9Q,3U9Q,14157896,4.268
15,3U9Q,3U9Q,3U9Q,9852086,8.168
16,3V8S,3V8S,3V8S,13939318,4.246
17,3V8S,3V8S,3V8S,14157896,4.156
18,3V8S,3V8S,3V8S,9852086,8.226
19,3V96,3V96,3V96,13939318,2.874
20,3V96,3V96,3V96,14157896,2.704
21,3V96,3V96,3V96,9852086,5.136
22,3WO4,3WO4,3WO4,13939318,2.382
23,3WO4,3WO4,3WO4,14157896,2.350
24,3WO4,3WO4,3WO4,9852086,5.119
25,4D0Z,4D0Z,4D0Z,13939318,4.265
26,4D0Z,4D0Z,4D0Z,14157896,4.284
27,4D0Z,4D0Z,4D0Z,9852086,8.199
28,4D1P,4D1P,4D1P,13939318,4.350
29,4D1P,4D1P,4D1P,14157896,4.473
30,4D1P,4D1P,4D1P,9852086,8.261
31,4DRI,4DRI,4DRI,13939318,3.959
32,4DRI,4DRI,4DRI,14157896,3.914
33,4DRI,4DRI,4DRI,9852086,8.299
34,4H6J,4H6J,4H6J,13939318,nan
35,4H6J,4H6J,4H6J,14157896,nan
36,4H6J,4H6J,4H6J,9852086,nan
37,4I8V,4I8V,4I8V,13939318,4.411
38,4I8V,4I8V,4I8V,14157896,4.377
39,4I8V,4I8V,4I8V,9852086,8.224
40,4O1V,4O1V,4O1V,13939318,nan
41,4O1V,4O1V,4O1V,14157896,nan
42,4O1V,4O1V,4O1V,9852086,nan
43,4OEE,4OEE,4OEE,13939318,3.122
44,4OEE,4OEE,4OEE,14157896,2.874
45,4OEE,4OEE,4OEE,9852086,5.370
46,4QBS,4QBS,4QBS,13939318,2.984
47,4QBS,4QBS,4QBS,14157896,2.828
48,4QBS,4QBS,4QBS,9852086,6.836
49,4QLI,4QLI,4QLI,13939318,4.275
50,4QLI,4QLI,4QLI,14157896,3.994
51,4QLI,4QLI,4QLI,9852086,8.333
52,4XDX,4XDX,4XDX,13939318,nan
53,4XDX,4XDX,4XDX,14157896,nan
54,4XDX,4XDX,4XDX,9852086,nan
55,5D7F,5D7F,5D7F,13939318,3.084
56,5D7F,5D7F,5D7F,14157896,2.862
57,5D7F,5D7F,5D7F,9852086,5.876
58,5E0U,5E0U,5E0U,13939318,nan
59,5E0U,5E0U,5E0U,14157896,nan
60,5E0U,5E0U,5E0U,9852086,nan
61,5F19,5F19,5F19,13939318,4.077
62,5F19,5F19,5F19,14157896,4.196
63,5F19,5F19,5F19,9852086,8.332
64,5HN1,5HN1,5HN1,13939318,3.387
65,5HN1,5HN1,5HN1,14157896,3.260
66,5HN1,5HN1,5HN1,9852086,6.420
67,5IRQ,5IRQ,5IRQ,13939318,4.112
68,5IRQ,5IRQ,5IRQ,14157896,4.014
69,5IRQ,5IRQ,5IRQ,9852086,8.240
70,5JFW,5JFW,5JFW,13939318,4.368
71,5JFW,5JFW,5JFW,14157896,4.306
72,5JFW,5JFW,5JFW,9852086,8.231
73,5L0R,5L0R,5L0R,13939318,5.152
74,5L0R,5L0R,5L0R,14157896,4.846
75,5L0R,5L0R,5L0R,9852086,8.166
